device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi4-2gb-bc,3,54.36893203883496,224,0,150,376,trimmed_mean,pi4-4gb
pi4-2gb-wc,3,54.36893203883496,224,0,150,376,trimmed_mean,pi4-4gb
pi4-4gb,3,54.54545454545454,225,0,150,375,trimmed_mean,pi4-4gb
All,3,57.65124555160143,972,0,600,1428,trimmed_mean,pi4-4gb
pi3-1gb,4,76.78207739307535,377,5,145,223,trimmed_mean,pi4-4gb
pi4-2gb-bc,4,58.32349468713105,247,0,150,353,trimmed_mean,pi4-4gb
pi4-2gb-wc,4,54.72154963680387,226,0,150,374,trimmed_mean,pi4-4gb
pi4-4gb,4,56.02836879432624,237,9,141,363,trimmed_mean,pi4-4gb
All,4,62.09654384461582,1087,14,586,1313,trimmed_mean,pi4-4gb
pi3-1gb,0,67.54966887417218,306,0,150,294,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,0,67.40331491712706,305,0,150,295,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,0,67.69570011025358,307,0,150,293,trimmed_mean_2,pi4-4gb
pi4-4gb,0,69.56521739130436,320,0,150,280,trimmed_mean_2,pi4-4gb
All,0,68.05937328202309,1238,0,600,1162,trimmed_mean_2,pi4-4gb
pi3-1gb,1,87.85046728971963,470,0,150,130,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,1,82.00589970501476,417,0,150,183,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,1,82.92682926829268,425,0,150,175,trimmed_mean_2,pi4-4gb
pi4-4gb,1,81.88976377952756,416,0,150,184,trimmed_mean_2,pi4-4gb
All,1,83.72093023255813,1728,0,600,672,trimmed_mean_2,pi4-4gb
pi3-1gb,2,80.35892323030906,403,0,150,197,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,2,64.25339366515837,284,0,150,316,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,2,63.94557823129251,282,0,150,318,trimmed_mean_2,pi4-4gb
pi4-4gb,2,66.51835372636263,299,0,150,301,trimmed_mean_2,pi4-4gb
All,2,69.13849509269356,1268,0,600,1132,trimmed_mean_2,pi4-4gb
pi3-1gb,3,65.62150055991042,293,0,150,307,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,3,54.65538089480047,226,1,149,374,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,3,54.54545454545454,225,0,150,375,trimmed_mean_2,pi4-4gb
pi4-4gb,3,54.89721886336155,227,0,150,373,trimmed_mean_2,pi4-4gb
All,3,57.591933570581254,971,1,599,1429,trimmed_mean_2,pi4-4gb
pi3-1gb,4,22.747415066469717,77,0,150,523,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,4,2.631578947368421,8,0,150,592,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,4,3.9215686274509802,12,0,150,588,trimmed_mean_2,pi4-4gb
pi4-4gb,4,10.126582278481013,32,0,150,568,trimmed_mean_2,pi4-4gb
All,4,10.201660735468565,129,0,600,2271,trimmed_mean_2,pi4-4gb
pi3-1gb,0,22.22222222222222,75,0,150,525,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,0,66.96230598669622,302,0,150,298,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,0,65.92178770949721,295,0,150,305,coordinate_wise_median,pi4-4gb
pi4-4gb,0,66.96230598669622,302,0,150,298,coordinate_wise_median,pi4-4gb
All,0,57.73562537048015,974,0,600,1426,coordinate_wise_median,pi4-4gb
pi3-1gb,1,58.989424206815514,251,0,150,349,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,1,83.60814742967993,431,0,150,169,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,1,80.95238095238095,408,0,150,192,coordinate_wise_median,pi4-4gb
pi4-4gb,1,83.04093567251462,426,0,150,174,coordinate_wise_median,pi4-4gb
All,1,77.42594484167518,1516,0,600,884,coordinate_wise_median,pi4-4gb
pi3-1gb,2,30.985915492957744,110,0,150,490,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,2,56.45933014354066,236,0,150,364,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,2,57.3127229488704,241,0,150,359,coordinate_wise_median,pi4-4gb
pi4-4gb,2,57.81990521327014,244,0,150,356,coordinate_wise_median,pi4-4gb
All,2,51.439182915506045,831,0,600,1569,coordinate_wise_median,pi4-4gb
pi3-1gb,3,76.16099071207431,369,0,150,231,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,3,82.2722820763957,420,1,149,180,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,3,83.04093567251462,426,0,150,174,coordinate_wise_median,pi4-4gb
pi4-4gb,3,83.15481986368061,427,0,150,173,coordinate_wise_median,pi4-4gb
All,3,81.22681177343557,1642,1,599,758,coordinate_wise_median,pi4-4gb
pi3-1gb,4,69.28104575163398,318,0,150,282,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,4,78.42465753424656,458,110,40,142,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,4,78.62531433361272,469,124,26,131,coordinate_wise_median,pi4-4gb
pi4-4gb,4,77.46835443037975,459,126,24,141,coordinate_wise_median,pi4-4gb
All,4,76.34408602150538,1704,360,240,696,coordinate_wise_median,pi4-4gb
