device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
All,3,24.184261036468328,441,6,794,2759,trimmed_mean_2,pi4-4gb
pi3-1gb,4,59.54465849387041,340,2,198,460,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,4,6.272617611580217,26,3,197,774,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,4,9.97624703087886,42,0,200,758,trimmed_mean_2,pi4-4gb
pi4-4gb,4,7.451923076923076,31,1,199,769,trimmed_mean_2,pi4-4gb
All,4,24.0877914951989,439,6,794,2761,trimmed_mean_2,pi4-4gb
pi3-1gb,0,88.8888888888889,800,200,0,0,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,0,85.93639575971733,608,7,193,192,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,0,85.97733711048159,607,5,195,193,coordinate_wise_median,pi4-4gb
pi4-4gb,0,85.91749644381223,604,2,198,196,coordinate_wise_median,pi4-4gb
All,0,86.82247637991048,2619,214,586,581,coordinate_wise_median,pi4-4gb
pi3-1gb,1,88.8888888888889,800,200,0,0,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,1,86.09738884968242,610,7,193,190,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,1,86.05633802816902,611,9,191,189,coordinate_wise_median,pi4-4gb
pi4-4gb,1,85.51236749116607,605,10,190,195,coordinate_wise_median,pi4-4gb
All,1,86.78122934567087,2626,226,574,574,coordinate_wise_median,pi4-4gb
pi3-1gb,2,88.8888888888889,800,200,0,0,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,2,64.64646464646464,384,4,196,416,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,2,64.86486486486487,384,0,200,416,coordinate_wise_median,pi4-4gb
pi4-4gb,2,66.110183639399,396,2,198,404,coordinate_wise_median,pi4-4gb
All,2,73.14711359404096,1964,206,594,1236,coordinate_wise_median,pi4-4gb
pi3-1gb,3,88.8888888888889,800,200,0,0,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,3,13.689095127610207,59,3,197,741,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,3,17.767653758542142,78,0,200,722,coordinate_wise_median,pi4-4gb
pi4-4gb,3,15.437788018433181,67,1,199,733,coordinate_wise_median,pi4-4gb
All,3,45.553539019963694,1004,204,596,2196,coordinate_wise_median,pi4-4gb
pi3-1gb,4,69.76744186046511,435,12,188,365,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,4,6.971153846153847,29,3,197,771,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,4,9.069212410501192,38,0,200,762,coordinate_wise_median,pi4-4gb
pi4-4gb,4,8.373205741626792,35,1,199,765,coordinate_wise_median,pi4-4gb
All,4,28.617106314948042,537,16,784,2663,coordinate_wise_median,pi4-4gb
